year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,version
2016,Tennessee,Sumner,47165,Other,NA,3215,71505,20191203
2016,Tennessee,Tipton,47167,Hillary Clinton,democrat,5785,23481,20191203
2016,Tennessee,Tipton,47167,Donald Trump,republican,16910,23481,20191203
2016,Tennessee,Tipton,47167,Other,NA,786,23481,20191203
2016,Tennessee,Trousdale,47169,Hillary Clinton,democrat,946,3160,20191203
2016,Tennessee,Trousdale,47169,Donald Trump,republican,2103,3160,20191203
2016,Tennessee,Trousdale,47169,Other,NA,111,3160,20191203
2016,Tennessee,Unicoi,47171,Hillary Clinton,democrat,1262,7195,20191203
2016,Tennessee,Unicoi,47171,Donald Trump,republican,5671,7195,20191203
2016,Tennessee,Unicoi,47171,Other,NA,262,7195,20191203
2016,Tennessee,Union,47173,Hillary Clinton,democrat,1012,6247,20191203
2016,Tennessee,Union,47173,Donald Trump,republican,5053,6247,20191203
2016,Tennessee,Union,47173,Other,NA,182,6247,20191203
2016,Tennessee,Van Buren,47175,Hillary Clinton,democrat,539,2419,20191203
2016,Tennessee,Van Buren,47175,Donald Trump,republican,1820,2419,20191203
2016,Tennessee,Van Buren,47175,Other,NA,60,2419,20191203
2016,Tennessee,Warren,47177,Hillary Clinton,democrat,3535,13612,20191203
2016,Tennessee,Warren,47177,Donald Trump,republican,9540,13612,20191203
2016,Tennessee,Warren,47177,Other,NA,537,13612,20191203
2016,Tennessee,Washington,47179,Hillary Clinton,democrat,13024,49750,20191203
2016,Tennessee,Washington,47179,Donald Trump,republican,34252,49750,20191203
2016,Tennessee,Washington,47179,Other,NA,2474,49750,20191203
2016,Tennessee,Wayne,47181,Hillary Clinton,democrat,717,5857,20191203
2016,Tennessee,Wayne,47181,Donald Trump,republican,5036,5857,20191203
2016,Tennessee,Wayne,47181,Other,NA,104,5857,20191203
2016,Tennessee,Weakley,47183,Hillary Clinton,democrat,2772,12184,20191203
2016,Tennessee,Weakley,47183,Donald Trump,republican,9008,12184,20191203
2016,Tennessee,Weakley,47183,Other,NA,404,12184,20191203
2016,Tennessee,White,47185,Hillary Clinton,democrat,1845,9825,20191203
2016,Tennessee,White,47185,Donald Trump,republican,7671,9825,20191203
2016,Tennessee,White,47185,Other,NA,309,9825,20191203
2016,Tennessee,Williamson,47187,Hillary Clinton,democrat,31013,106271,20191203
2016,Tennessee,Williamson,47187,Donald Trump,republican,68212,106271,20191203
2016,Tennessee,Williamson,47187,Other,NA,7046,106271,20191203
2016,Tennessee,Wilson,47189,Hillary Clinton,democrat,14385,56734,20191203
2016,Tennessee,Wilson,47189,Donald Trump,republican,39406,56734,20191203
2016,Tennessee,Wilson,47189,Other,NA,2943,56734,20191203
